,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
0,ridge,2015,2011–2014,989,249,2.5445,-0.23195157180922665,0.02734528077835297,0.02230179306987003,41.114,Gold-T+7
1,ridge,2016,2012–2015,987,247,2.4767,-0.27137912171569445,0.03105724064506331,0.025067554593731427,41.114,Gold-T+7
2,ridge,2017,2013–2016,990,246,2.5506,-0.6467875610714049,0.025642092869374515,0.0213471253522574,41.114,Gold-T+7
3,ridge,2018,2014–2017,988,247,2.668,-1.2822082729905562,0.02187024382312742,0.018359778082751136,41.114,Gold-T+7
4,ridge,2019,2015–2018,989,248,2.7263,-0.1378942916234236,0.020360312406239242,0.01612775233757198,41.114,Gold-T+7
5,ridge,2020,2016–2019,988,251,2.5285,-0.3018180867381539,0.03722137581606618,0.027311828058881365,41.114,Gold-T+7
6,ridge,2021,2017–2020,992,251,2.5584,-0.38353886277689964,0.02659296210227053,0.02075589675525771,41.114,Gold-T+7
7,ridge,2022,2018–2021,997,250,2.6144,-0.0011750775121062151,0.02521201667500177,0.02095303186044699,41.114,Gold-T+7
8,ridge,2023,2019–2022,1000,247,2.5678,-0.32579586588124565,0.02667072048926736,0.02066039424783226,41.114,Gold-T+7
9,ridge,2024,2020–2023,999,249,2.5136,-0.47813077245410285,0.028943418086983808,0.023052468579041422,41.114,Gold-T+7
10,ridge,2025,2021–2024,997,177,2.628,0.04318113277847335,0.026099412681381207,0.01973801158330935,41.114,Gold-T+7
11,et,2015,2011–2014,989,249,3.5299,-0.0056821992412927624,0.024706768763298644,0.019588842539322537,46.395,Gold-T+7
12,et,2016,2012–2015,987,247,3.0831,-0.03252907718418552,0.02798829706986066,0.022301698493297956,46.395,Gold-T+7
13,et,2017,2013–2016,990,246,3.2131,-0.05607163320166553,0.020534369307244518,0.017310802004531063,46.395,Gold-T+7
14,et,2018,2014–2017,988,247,3.1492,0.00029614366766705924,0.014474769974436464,0.011650455764645459,46.395,Gold-T+7
15,et,2019,2015–2018,989,248,3.0683,-0.06769552036815285,0.019722283095251283,0.014589628552393093,46.395,Gold-T+7
16,et,2020,2016–2019,988,251,3.1675,-0.006584034460743737,0.03272972002180037,0.022665504668237312,46.395,Gold-T+7
17,et,2021,2017–2020,992,251,3.2498,-0.04280017534018721,0.02308721679253077,0.016892620193374612,46.395,Gold-T+7
18,et,2022,2018–2021,997,250,3.1585,-0.008691785550284825,0.02530648416340511,0.020721299987644763,46.395,Gold-T+7
19,et,2023,2019–2022,1000,247,3.1907,-0.002078512774835284,0.02318714578937032,0.018334264404210387,46.395,Gold-T+7
20,et,2024,2020–2023,999,249,3.1303,-0.05693852958721313,0.024474749404153586,0.019159712072468523,46.395,Gold-T+7
21,et,2025,2021–2024,997,177,3.1786,-0.1656789084896657,0.02880748460708649,0.02210725263721575,46.395,Gold-T+7
22,rf,2015,2011–2014,989,249,6.4858,-0.0056821992412927624,0.024706768763298644,0.019588842539322537,86.82,Gold-T+7
23,rf,2016,2012–2015,987,247,6.2416,-0.03252907718418552,0.02798829706986066,0.022301698493297956,86.82,Gold-T+7
24,rf,2017,2013–2016,990,246,7.6436,-0.05607163320166553,0.020534369307244518,0.017310802004531063,86.82,Gold-T+7
25,rf,2018,2014–2017,988,247,7.8683,0.028522894311321823,0.014268958416280134,0.011596521982251834,86.82,Gold-T+7
26,rf,2019,2015–2018,989,248,6.4085,-0.06769552036815285,0.019722283095251283,0.014589628552393093,86.82,Gold-T+7
27,rf,2020,2016–2019,988,251,6.1163,-0.006584034460743737,0.03272972002180037,0.022665504668237312,86.82,Gold-T+7
28,rf,2021,2017–2020,992,251,5.9395,-0.04188679227630043,0.023077103593025377,0.016887651970174947,86.82,Gold-T+7
29,rf,2022,2018–2021,997,250,7.1506,-0.007881698748182675,0.02529632022294975,0.02069731179316645,86.82,Gold-T+7
30,rf,2023,2019–2022,1000,247,7.6055,-0.0009821192512373678,0.02317445756499611,0.01832836480399612,86.82,Gold-T+7
31,rf,2024,2020–2023,999,249,7.0359,-0.05693852958721313,0.024474749404153586,0.019159712072468523,86.82,Gold-T+7
32,rf,2025,2021–2024,997,177,6.8809,-0.16667230667790944,0.028819756944025787,0.022095857935684148,86.82,Gold-T+7
33,gbr,2015,2011–2014,989,249,9.8874,-0.006220748012421673,0.024713383188367126,0.019596096906274695,117.131,Gold-T+7
34,gbr,2016,2012–2015,987,247,9.7648,-0.029785336468518775,0.02795108566578914,0.022255752951021876,117.131,Gold-T+7
