,Target,Model,Avg_Rolling_RMSE,Avg_Rolling_R2,Avg_Train_Time_Seconds,Total_Run_Time_Seconds,Folds Evaluated
0,Gold-T+7,ridge,0.027001370579375305,-0.36522712289039466,2.5797090909090907,41.114,11
1,Gold-T+7,et,0.024092662635312567,-0.040404930230050866,3.1926363636363635,46.395,11
2,Gold-T+7,rf,0.024072071309353293,-0.03767281969868742,6.852409090909091,86.82,11
3,Gold-T+7,gbr,0.024094001025481558,-0.0406035446986776,9.6372,117.131,11
4,Gold-T+7,catboost,0.024132367497241916,-0.04406788196111062,47.86177272727273,538.275,11
5,Gold-T+7,xgboost,0.024425171672218783,-0.06934907131772981,14.272054545454546,168.633,11
6,Gold-T+7,mlp,0.024028963645801163,-0.03747532877735318,9.7491,119.962,11
7,Gold-T+14,ridge,0.03895132844623806,-0.6754226035675711,2.6762636363636365,42.49,11
8,Gold-T+14,et,0.03327758452785839,-0.1351891309527711,3.769572727272728,53.548,11
9,Gold-T+14,rf,0.03299037828518515,-0.09390322896654472,7.149254545454545,90.51,11
10,Gold-T+14,gbr,0.033067553253336254,-0.10261569020021892,9.894972727272727,120.157,11
11,Gold-T+14,catboost,0.033084146803527587,-0.10064403045358995,51.275790909090915,575.961,11
12,Gold-T+14,xgboost,0.03354616035080329,-0.15276843024289094,15.356099999999998,180.739,11
13,Gold-T+14,mlp,0.033646918489604875,-0.13966349783771745,11.09590909090909,135.352,11
14,Gold-T+21,ridge,0.04813906605827143,-0.8616423680387743,2.673481818181818,43.064,11
15,Gold-T+21,et,0.040550925740970266,-0.2113133820645711,4.1667,58.786,11
16,Gold-T+21,rf,0.040527580416639626,-0.19852912510547488,8.069100000000002,101.318,11
17,Gold-T+21,gbr,0.04076019540039677,-0.22162689729561313,11.686027272727273,139.957,11
18,Gold-T+21,catboost,0.04041442221009266,-0.2157015829773887,56.370754545454545,632.132,11
19,Gold-T+21,xgboost,0.04019294046273259,-0.17647486916055619,17.313927272727273,202.554,11
20,Gold-T+21,mlp,0.040861297694599605,-0.20955353011420302,10.83389090909091,131.674,11
21,Gold-T+28,ridge,0.055702991928263314,-0.9849436546242539,2.638018181818182,42.166,11
22,Gold-T+28,et,0.04695339607177566,-0.319074767967362,3.778536363636363,53.205,11
23,Gold-T+28,rf,0.04646567191385286,-0.29202264194927074,6.948572727272727,88.067,11
24,Gold-T+28,gbr,0.04582490092528737,-0.24698118200983424,11.135127272727273,133.851,11
25,Gold-T+28,catboost,0.04589297669818029,-0.25521371812832266,55.38649090909092,620.986,11
26,Gold-T+28,xgboost,0.04619463597123612,-0.29984801748994355,12.580800000000004,150.376,11
27,Gold-T+28,mlp,0.047381105242215976,-0.32726782194774084,10.565736363636361,130.283,11
